fact_id,year_id,country_id,population_id,Poverty ratio,GDP per capita,% annual GDP per capita growth,Secure Internet servers,Infant mortality rate,% GDP Current health expenditure,Government health expenditure per capita,Private health expenditure per capita ,External health expenditure per capita,Population
f1,y36,C1,P1,0,516.8667974,-5.364665931,34.94796166,44.8,15.53361392,6.1311352,61.20481468,12.95210116,32.941
f2,y36,C2,P2,0,5343.037704,-2.745238678,884.8250911,8.4,0,154.8976524,0,0,2.878
f3,y36,C3,P3,0,3354.157303,-6.729941651,48.46764679,19.6,6.32117987,134.4669044,80.29914715,0.08572689,43.851
f4,y36,C5,P4,0,37207.222,-12.73507756,9665.379665,2.7,9.05175877,2441.683051,895.234785,0,0.078
f5,y36,C6,P5,0,1502.950754,-8.672432129,19.7436402,48.7,2.91183472,21.34275969,27.28717169,2.11269093,33.428
f6,y36,C8,P6,0,15284.77238,-17.98917356,1316.58465,5.3,5.61472893,500.0560768,329.0950998,1.18831477,0.098
f7,y36,C9,P7,1.1,8496.428157,-10.81261085,3685.763129,6.8,9.98438072,572.3729519,288.8625067,2.47893679,45.388
f8,y36,C10,P8,0.4,4505.867746,-6.704049318,620.5428556,10,12.24103546,106.1914347,439.2663736,6.08566008,2.962
f9,y36,C12,P10,0,51722.069,-1.278358059,39853.34174,3.2,10.6489954,4431.030775,1470.075863,0,25.631
f10,y36,C13,P11,0.7,48809.22688,-6.841544703,33802.69117,3,11.47426033,4265.449267,1319.638914,0,8.901
f11,y36,C14,P12,0,4229.910649,-4.952701739,299.3127696,17.4,4.60676527,65.97134067,124.6775201,0.57844321,10.067
f12,y36,C15,P13,0,23998.26802,-23.86836277,1220.259256,11.5,7.59363365,1120.865125,723.2036133,6.92746665,0.389
f13,y36,C16,P14,0,23433.18724,-3.565598605,451.4477123,6,4.72300106,695.9360225,414.0614078,0,1.472
f14,y36,C17,P15,0,2233.305893,2.271109279,137.8859686,24.1,2.6280098,9.14320207,38.78175346,2.7391753,164.689
f15,y36,C18,P16,0,16643.80658,-13.46945599,1061.65811,11.4,7.20014429,624.7146565,565.6373624,9.35994307,0.288
f16,y36,C19,P17,0,6542.86454,-0.251386576,7550.571687,2.2,6.40607214,289.2741928,117.6007207,1.21977503,9.41
f17,y36,C20,P18,0.1,45517.90382,-5.769592438,24215.32102,3.4,11.06453228,3966.003275,1043.451456,0,11.522
f18,y36,C21,P19,0,5266.87616,-14.68046614,132241.6382,10.1,6.92425728,199.7307142,75.84074678,2.41892482,0.421
f19,y36,C22,P20,0,1237.949295,0.951937861,17.87533033,56.6,2.5893681,10.77707633,14.90442351,6.44564571,12.643
f20,y36,C24,P21,0,3009.925516,-10.59763139,682.1953486,23.1,4.37174511,104.2987894,22.53664257,6.86770465,0.745
f21,y36,C25,P22,3.1,3068.812555,-9.952404845,205.4261663,20.9,7.857059,173.3488808,60.97352765,6.79579749,11.63
f22,y36,C26,P23,0,6095.102479,-1.778703887,3128.609601,5,9.8411274,410.7978622,172.4286919,8.1798545,3.487
f23,y36,C27,P24,0,5875.070606,-10.40331706,243.4808015,29,6.18664551,270.9824704,71.20731592,20.54472253,2.546
f24,y36,C28,P25,1.9,6923.700197,-3.918004172,3077.966117,13.1,10.31291676,313.5774769,386.1161886,1.01906998,200.978
f25,y36,C30,P26,0,27179.34442,0.291718917,15597.93989,9.6,2.39377809,611.732407,38.74578466,0,0.442
f26,y36,C31,P27,0.2,10153.4766,-3.380400724,48076.18674,5.4,8.52063847,512.651434,326.6649137,17.38454994,6.917
f27,y36,C32,P28,0,833.2443361,-0.773847474,5.807841478,53,6.71932602,23.54473671,20.79570924,9.83648267,21.54
f28,y36,C33,P29,0,216.8274174,-2.508461168,8.428648666,38.8,6.50141716,6.07196312,5.25984739,5.08841473,11.875
f29,y36,C34,P30,0,1577.91174,-4.213653755,192.2319273,22.1,7.50527,32.05111531,75.96299713,7.75052962,15.678
f30,y36,C35,P31,0,1539.130547,-2.422434418,16.76035415,48.5,3.76582599,9.44745207,41.64582426,6.91206846,26.546
f31,y36,C36,P32,0,43349.67786,-6.088212049,39881.2424,4.5,12.93967533,4212.77856,1406.637295,0,37.977
f32,y36,C37,P196,0,3223.735602,-20.07982255,169.9162433,12.2,6.01976061,108.3079496,44.64288954,23.07332571,0.557
f33,y36,C39,P33,0,435.4692482,-1.624775579,1.122960423,77.2,9.40206814,5.42784934,22.13206152,14.40061867,4.83
f34,y36,C40,P34,0,643.7722162,-4.66133902,1.261662796,67.6,5.40748835,5.98552348,21.35025447,7.46552896,16.426
f35,y36,C41,P35,0.7,13165.38634,-7.413626946,12791.29382,5.9,9.75300503,720.8526276,557.3261981,0,19.458
f36,y36,C42,P36,0.1,10408.71912,1.995558042,948.4586493,5.5,5.59359694,319.2769692,264.1537745,0.00142376,1412.12
f37,y36,C43,P37,9.4,5304.289129,-8.605811527,405.3746641,11.4,8.99294186,346.7855376,130.4892565,0,50.372
f38,y36,C44,P38,0,1519.58678,-2.074861396,9.923514512,40.4,5.34622765,11.69849223,58.42786121,10.69804354,0.897
f39,y36,C46,P41,2.3,12179.25667,-4.994101584,1312.094911,6.7,7.855371,684.3743086,267.414059,1.29420153,5.128
f40,y36,C47,P42,0.3,14236.53525,-8.183444642,22352.0634,4,7.76502275,896.2018022,198.3071446,0.02416667,4.048
f41,y36,C50,P43,0,28035.98438,-5.450317794,24379.87713,2.3,8.0934782,1757.317176,482.4874658,5.5562378,0.888
f42,y36,C51,P44,0,22992.87938,-5.732526894,67601.75729,2.3,9.24007225,1853.101234,266.7472925,0,10.702
f43,y36,C56,P39,0,524.6666863,-1.49268943,3.715543824,64.1,4.05092573,3.41377304,9.87405259,7.96603222,90.794
f44,y36,C52,P45,0.2,60915.4244,-2.280015264,277081.8143,3.2,10.52817535,5463.455525,974.9374802,0,5.823
f45,y36,C53,P46,0,2917.996281,-0.298338539,44.94769556,47.2,2.00786304,31.48001066,17.68380921,13.64555545,0.988
f46,y36,C54,P47,0,7003.469891,-17.26169347,46919.92499,31.7,5.64582825,265.736028,128.5385154,32.38983395,0.073
f47,y36,C55,P48,1,7167.914932,-7.719058679,125.0038183,27.8,4.94000483,232.4789457,118.7911018,2.8252727,10.448
f48,y36,C57,P49,6.5,5645.19929,-9.07131767,381.5540696,11.1,8.47677135,280.5713509,197.2108465,0.74781412,17.511
