game_slug,host_countries,game_name
beijing-2022,China,Beijing
tokyo-2020,Japan,Tokyo
pyeongchang-2018,South Korea,PyeongChang
rio-2016,Brazil,Rio
sochi-2014,Russia,Sochi
london-2012,United Kingdom,London
vancouver-2010,Canada,Vancouver
beijing-2008,China,Beijing
turin-2006,Italy,Turin
athens-2004,Greece,Athens
salt-lake-city-2002,United States,Salt Lake City
sydney-2000,Australia,Sydney
nagano-1998,Japan,Nagano
atlanta-1996,United States,Atlanta
lillehammer-1994,Norway,Lillehammer
barcelona-1992,Spain,Barcelona
albertville-1992,France,Albertville
seoul-1988,South Korea,Seoul
calgary-1988,Canada,Calgary
los-angeles-1984,United States,Los Angeles
sarajevo-1984,Bosnia and Herzegovina,Sarajevo
moscow-1980,Russia,Moscow
lake-placid-1980,United States,Lake Placid
montreal-1976,Canada,Montreal
innsbruck-1976,Austria,Innsbruck
munich-1972,Germany,Munich
sapporo-1972,Japan,Sapporo
mexico-city-1968,Mexico,Mexico City
grenoble-1968,France,Grenoble
tokyo-1964,Japan,Tokyo
innsbruck-1964,Austria,Innsbruck
rome-1960,Italy,Rome
squaw-valley-1960,United States,Squaw Valley
melbourne-1956,Australia,Melbourne
cortina-d-ampezzo-1956,Italy,Cortina d'Ampezzo
helsinki-1952,Finland,Helsinki
oslo-1952,Norway,Oslo
london-1948,United Kingdom,London
st-moritz-1948,Switzerland,St. Moritz
berlin-1936,Germany,Berlin
garmisch-partenkirchen-1936,Germany,Garmisch-Partenkirchen
los-angeles-1932,United States,Los Angeles
lake-placid-1932,United States,Lake Placid
amsterdam-1928,Netherlands,Amsterdam
st-moritz-1928,Switzerland,St. Moritz
paris-1924,France,Paris
chamonix-1924,France,Chamonix
antwerp-1920,Belgium,Antwerp
stockholm-1912,Sweden,Stockholm
london-1908,United Kingdom,London
st-louis-1904,United States,St. Louis
paris-1900,France,Paris
athens-1896,Greece,Athens
