country_id,country_name,region
C1,Afghanistan,Asia
C2,Albania,Europe
C3,Algeria,Africa
C4,American Samoa,Oceania
C5,Andorra,Europe
C6,Angola,Africa
C7,Anguilla,North America
C8,Antigua and Barbuda,North America
C9,Argentina,South America
C10,Armenia,Asia
C11,Aruba,North America
C12,Australia,Oceania
C13,Austria,Europe
C14,Azerbaijan,Asia
C15,Bahamas,North America
C16,Bahrain,Asia
C17,Bangladesh,Asia
C18,Barbados,North America
C19,Belarus,Europe
C20,Belgium,Europe
C21,Belize,North America
C22,Benin,Africa
C23,Bermuda,North America
C24,Bhutan,Asia
C25,Bolivia,South America
C26,Bosnia and Herzegovina,Europe
C27,Botswana,Africa
C28,Brazil,South America
C29,British Virgin Islands,North America
C30,Brunei,Asia
C31,Bulgaria,Europe
C32,Burkina Faso,Africa
C33,Burundi,Africa
C34,Cambodia,Asia
C35,Cameroon,Africa
C36,Canada,North America
C37,Cape Verde,Africa
C38,Cayman Islands,North America
C39,Central African Republic,Africa
C40,Chad,Africa
C41,Chile,South America
C42,China,Asia
C43,Colombia,South America
C44,Comoros,Africa
C45,Cook Islands,Oceania
C46,Costa Rica,North America
C47,Croatia,Europe
C48,Cuba,North America
C49,Curacao,North America
C50,Cyprus,Europe
C51,Czech Republic,Europe
C52,Denmark,Europe
C53,Djibouti,Africa
C54,Dominica,North America
C55,Dominican Republic,North America
C56,Democratic Republic of Congo,Africa
C57,Ecuador,South America
C58,Egypt,Africa
C59,El Salvador,North America
C60,Equatorial Guinea,Africa
C61,Eritrea,Africa
C62,Estonia,Europe
C63,Eswatini,Africa
C64,Ethiopia,Africa
C65,Falkland Islands,South America
C66,Faroe Islands,Europe
C67,Fiji,Oceania
C68,Finland,Europe
C69,France,Europe
C70,French Guiana,South America
C71,French Polynesia,Oceania
C72,Gabon,Africa
C73,Gambia,Africa
C74,Georgia,Asia
C75,Germany,Europe
C76,Ghana,Africa
C77,Gibraltar,Europe
C78,Greece,Europe
C79,Greenland,North America
C80,Grenada,North America
C81,Guadeloupe,North America
C82,Guam,Oceania
C83,Guatemala,North America
C84,Guernsey,Europe
C85,Guinea,Africa
C86,Guinea-Bissau,Africa
C87,Guyana,South America
C88,Haiti,North America
C89,Honduras,North America
C90,Hong Kong,Asia
C91,Hungary,Europe
C92,Iceland,Europe
C93,India,Asia
C94,Indonesia,Asia
C95,Iran,Asia
C96,Iraq,Asia
C97,Ireland,Europe
C98,Isle of Man,Europe
C99,Israel,Asia
C100,Italy,Europe
C101,Ivory Coast,Africa
C102,Jamaica,North America
C103,Japan,Asia
C104,Jersey,Europe
C105,Jordan,Asia
C106,Kazakhstan,Asia
C107,Kenya,Africa
C108,Kiribati,Oceania
C109,Kuwait,Asia
C110,Kyrgyzstan,Asia
C111,Laos,Asia
C112,Latvia,Europe
C113,Lebanon,Asia
C114,Lesotho,Africa
C115,Liberia,Africa
C116,Libya,Africa
C117,Liechtenstein,Europe
C118,Lithuania,Europe
C119,Luxembourg,Europe
C120,Macau,Asia
C121,Madagascar,Africa
C122,Malawi,Africa
C123,Malaysia,Asia
C124,Maldives,Asia
C125,Mali,Africa
C126,Malta,Europe
C127,Marshall Islands,Oceania
C128,Martinique,North America
C129,Mauritania,Africa
C130,Mauritius,Africa
C131,Mayotte,Africa
C132,Mexico,North America
C133,Micronesia,Oceania
C134,Moldova,Europe
C135,Monaco,Europe
C136,Mongolia,Asia
C137,Montenegro,Europe
C138,Montserrat,North America
C139,Morocco,Africa
