fact_id,country_id,population_id,medal_id,year_id,depressive_disorder,schizophrenia,bipolar_disorder,eating_disorder,anxiety_disorder
f1,C1,P1,m18720,YR1990,895.22565,138.24825,147.64412,26.471115,440.33
f2,C1,P1,m18720,YR1991,893.88434,137.76122,147.56696,25.548681,439.47202
f3,C1,P1,m18720,YR1992,892.34973,137.0803,147.13086,24.637949,437.60718
f4,C1,P1,m18720,YR1993,891.51587,136.48602,146.78812,23.863169,436.69104
f5,C1,P1,m18720,YR1994,891.3916,136.18323,146.58481,23.189074,436.768
f6,C1,P1,m18720,YR1995,891.21344,135.65398,146.63217,22.503244,436.69098
f7,C1,P1,m18720,YR1996,891.92096,135.16324,146.67957,21.827526,436.52713
f8,C1,P1,m18720,YR1997,893.02045,134.2036,146.54947,21.124723,436.42557
f9,C1,P1,m18720,YR1998,894.7368,133.56137,146.69704,20.412657,436.7702
f10,C1,P1,m18720,YR1999,896.13806,132.82457,146.76817,19.931143,437.12753
f11,C1,P1,m18720,YR2000,897.0631,132.56447,146.69957,19.769741,437.81378
f12,C1,P1,m18720,YR2001,896.19244,132.38344,146.80049,19.72647,437.8184
f13,C1,P1,m18720,YR2002,894.41486,132.26962,147.0212,19.788143,437.49268
f14,C1,P1,m18720,YR2003,892.8549,132.65482,146.89832,19.847649,437.7178
f15,C1,P1,m18720,YR2004,891.61444,132.47002,147.10779,19.985369,438.05847
f16,C1,P1,m18720,YR2005,890.48584,132.7123,147.21605,20.11376,438.41013
f17,C1,P1,m18720,YR2006,890.12366,132.8283,147.37941,20.305365,439.30695
f18,C1,P1,m18720,YR2007,890.02045,132.85744,147.46146,20.703999,439.95288
f19,C1,P1,m18720,YR2008,889.03674,133.19771,147.72333,21.125774,440.6444
f20,C1,P1,m18720,YR2009,888.5571,133.64053,147.6236,21.584486,441.7015
f21,C1,P1,m18720,YR2010,888.5573,133.93993,147.63795,21.996126,442.2967
f22,C1,P1,m18720,YR2011,888.8211,134.38702,147.83458,22.47905,444.04633
f23,C1,P1,m18720,YR2012,889.0002,134.67058,147.91908,22.885954,446.3588
f24,C1,P1,m18720,YR2013,889.4718,135.41533,147.90512,23.409927,448.9212
f25,C1,P1,m18720,YR2014,889.8559,135.6847,148.1675,23.843073,451.59003
f26,C1,P1,m18720,YR2015,889.831,135.8229,148.00087,24.176653,453.5491
f27,C1,P1,m18720,YR2016,888.2025,135.8525,148.15033,24.497932,453.91003
f28,C1,P1,m18720,YR2017,887.0443,135.94547,148.02977,24.622818,453.98483
f29,C1,P1,m18720,YR2018,888.1976,135.77147,148.18695,24.742624,455.19724
f30,C1,P1,m18720,YR2019,890.1888,135.63637,148.22464,24.71175,457.2457
f31,C3,P3,m755,YR1990,763.00165,160.96611,163.8341,41.365974,445.06982
f32,C3,P3,m755,YR1991,759.72253,160.74483,163.92192,40.93132,445.156
f33,C3,P3,m755,YR1992,756.2488,160.41272,163.94162,40.46013,445.17197
f34,C3,P3,m755,YR1993,754.1418,160.20842,163.84319,40.068848,445.30508
f35,C3,P3,m755,YR1994,752.28564,160.29286,163.90677,39.783154,445.47592
f36,C3,P3,m755,YR1995,750.99445,160.22092,163.86661,39.559963,445.68146
f37,C3,P3,m755,YR1996,749.54224,160.0661,163.93393,39.58238,445.60187
f38,C3,P3,m755,YR1997,748.5751,160.3101,164.04039,39.390182,445.89304
f39,C3,P3,m755,YR1998,747.38525,160.0447,164.08981,39.196007,446.22012
f40,C3,P3,m755,YR1999,746.67816,160.14261,163.99919,39.160973,446.1974
f41,C3,P3,m755,YR2000,745.6598,159.96208,164.12456,39.199177,446.51038
f42,C3,P3,m755,YR2001,744.34705,160.19058,163.97765,39.302742,446.54797
f43,C3,P3,m755,YR2002,742.25653,160.29102,164.07349,39.651974,446.98288
f44,C3,P3,m755,YR2003,740.2308,160.28494,163.78801,40.145924,447.39404
f45,C3,P3,m755,YR2004,737.96625,160.67133,163.85547,40.57292,447.8107
f46,C3,P3,m755,YR2005,735.59106,160.53091,164.06604,41.03043,447.9435
f47,C3,P3,m755,YR2006,733.0727,160.27365,163.9962,41.29852,448.16882
f48,C3,P3,m755,YR2007,729.1238,160.11818,163.89052,41.743423,448.33047
f49,C3,P3,m755,YR2008,724.836,160.17793,163.90256,42.11582,448.38232
f50,C3,P3,m755,YR2009,721.4803,159.92377,163.99377,42.30906,448.8984
f51,C3,P3,m755,YR2010,720.2714,159.82906,163.97874,42.704582,449.27042
f52,C3,P3,m755,YR2011,720.5551,159.73334,163.97612,42.902992,449.73996
f53,C3,P3,m755,YR2012,721.827,160.22154,163.97821,43.199272,450.9143
f54,C3,P3,m755,YR2013,723.6595,160.22733,163.89444,43.360466,452.64438
f55,C3,P3,m755,YR2014,725.5452,160.31621,163.81506,43.641144,453.8528
f56,C3,P3,m755,YR2015,725.65045,160.17842,163.95367,43.940647,454.7196
f57,C3,P3,m755,YR2016,724.2635,160.05568,163.73029,44.401974,455.2876
f58,C3,P3,m755,YR2017,722.7795,159.84593,163.63782,44.82481,455.96344
f59,C3,P3,m755,YR2018,727.3301,160.01935,163.83374,44.887913,457.0603
f60,C3,P3,m755,YR2019,736.5149,160.01306,163.71942,44.83972,458.80023
f61,C9,P7,m764,YR1990,456.58658,199.54149,211.86952,60.407494,486.74155
f62,C9,P7,m764,YR1991,457.5761,199.25613,211.91397,60.788937,486.14066
f63,C9,P7,m764,YR1992,458.25125,199.43263,211.82477,61.26065,485.97446
f64,C9,P7,m764,YR1993,458.93344,199.07698,211.67442,61.5895,485.76346
f65,C9,P7,m764,YR1994,460.04605,199.11513,211.916,62.2786,485.56195
f66,C9,P7,m764,YR1995,460.42422,199.24022,211.72897,62.594017,485.56973
f67,C9,P7,m764,YR1996,461.35538,199.13022,211.65108,63.22856,485.71817
f68,C9,P7,m764,YR1997,461.77563,199.14685,211.60963,64.143,486.52246
f69,C9,P7,m764,YR1998,462.2409,199.33408,211.81021,64.82447,487.1518
f70,C9,P7,m764,YR1999,462.83536,199.50618,211.91681,65.32269,488.197
f71,C9,P7,m764,YR2000,463.02097,199.60133,211.6936,65.60935,488.27878
f72,C9,P7,m764,YR2001,463.53278,199.46272,213.23659,65.41662,488.09467
