medal_id,country_medal,city,discipline_title,participant_type,event_gender,medal_type
m1,Latvia,tokyo,3x3 Basketball,GameTeam,Men,GOLD
m2,China,tokyo,3x3 Basketball,GameTeam,Men,SILVER
m3,China,tokyo,3x3 Basketball,GameTeam,Men,BRONZE
m4,China,tokyo,3x3 Basketball,GameTeam,Women,GOLD
m5,Serbia,tokyo,3x3 Basketball,GameTeam,Women,SILVER
m6,United States,tokyo,3x3 Basketball,GameTeam,Women,BRONZE
m7,Australia,nagano,Alpine Skiing,Athlete,Men,GOLD
m8,Austria,albertville,Alpine Skiing,Athlete,Men,SILVER
m9,Austria,albertville,Alpine Skiing,Athlete,Men,BRONZE
m10,Austria,albertville,Alpine Skiing,Athlete,Men,GOLD
m11,Austria,albertville,Alpine Skiing,Athlete,Men,SILVER
m12,Austria,albertville,Alpine Skiing,Athlete,Men,BRONZE
m13,Austria,albertville,Alpine Skiing,Athlete,Women,SILVER
m14,Austria,albertville,Alpine Skiing,Athlete,Women,BRONZE
m15,Austria,albertville,Alpine Skiing,Athlete,Women,GOLD
m16,Austria,beijing,Alpine Skiing,Athlete,Men,GOLD
m17,Austria,beijing,Alpine Skiing,Athlete,Men,BRONZE
m18,Austria,beijing,Alpine Skiing,Athlete,Men,SILVER
m19,Austria,beijing,Alpine Skiing,Athlete,Women,GOLD
m20,Austria,beijing,Alpine Skiing,Athlete,Women,SILVER
m21,Austria,beijing,Alpine Skiing,Athlete,Women,BRONZE
m22,Austria,beijing,Alpine Skiing,GameTeam,Mixed,GOLD
m23,Austria,calgary,Alpine Skiing,Athlete,Mixed,SILVER
m24,Austria,calgary,Alpine Skiing,Athlete,Mixed,BRONZE
m25,Austria,calgary,Alpine Skiing,Athlete,Men,BRONZE
m26,Austria,calgary,Alpine Skiing,Athlete,Men,GOLD
m27,Austria,calgary,Alpine Skiing,Athlete,Men,SILVER
m28,Austria,calgary,Alpine Skiing,Athlete,Men,BRONZE
m29,Austria,cortina ampezzo,Alpine Skiing,Athlete,Men,SILVER
m30,Austria,cortina ampezzo,Alpine Skiing,Athlete,Men,GOLD
m31,Austria,cortina ampezzo,Alpine Skiing,Athlete,Women,SILVER
m32,Austria,cortina ampezzo,Alpine Skiing,Athlete,Women,BRONZE
m33,Austria,cortina ampezzo,Alpine Skiing,Athlete,Women,GOLD
m34,Austria,cortina ampezzo,Alpine Skiing,Athlete,Women,BRONZE
m35,Austria,cortina ampezzo,Alpine Skiing,Athlete,Women,SILVER
m36,Austria,cortina ampezzo,Alpine Skiing,Athlete,Women,GOLD
m37,Austria,cortina ampezzo,Alpine Skiing,Athlete,Women,GOLD
m38,Austria,grenoble,Alpine Skiing,Athlete,Women,BRONZE
m39,Austria,grenoble,Alpine Skiing,Athlete,Women,SILVER
m40,Austria,grenoble,Alpine Skiing,Athlete,Women,GOLD
m41,Austria,grenoble,Alpine Skiing,Athlete,Women,SILVER
m42,Austria,grenoble,Alpine Skiing,Athlete,Women,BRONZE
m43,Austria,innsbruck,Alpine Skiing,Athlete,Men,GOLD
m44,Austria,innsbruck,Alpine Skiing,Athlete,Men,SILVER
m45,Austria,innsbruck,Alpine Skiing,Athlete,Men,BRONZE
m46,Austria,innsbruck,Alpine Skiing,Athlete,Men,GOLD
m47,Austria,innsbruck,Alpine Skiing,Athlete,Men,SILVER
m48,Austria,innsbruck,Alpine Skiing,Athlete,Men,BRONZE
m49,Austria,innsbruck,Alpine Skiing,Athlete,Men,GOLD
m50,Austria,innsbruck,Alpine Skiing,Athlete,Men,SILVER
m51,Austria,innsbruck,Alpine Skiing,Athlete,Men,BRONZE
m52,Austria,lake placid,Alpine Skiing,Athlete,Men,GOLD
m53,Austria,lake placid,Alpine Skiing,Athlete,Men,SILVER
m54,Austria,lake placid,Alpine Skiing,Athlete,Men,BRONZE
m55,Austria,lake placid,Alpine Skiing,Athlete,Women,GOLD
m56,Austria,lillehammer,Alpine Skiing,Athlete,Women,SILVER
m57,Austria,lillehammer,Alpine Skiing,Athlete,Women,BRONZE
